,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
url,http://toledoabortioncenter.com/welcome/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,http://www.preterm.org/,http://www.preterm.org/,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,http://toledoabortioncenter.com/welcome/,http://www.womensmedcenter.com/,https://northeastohioabortion.com/,http://toledoabortioncenter.com/welcome/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,http://toledoabortioncenter.com/welcome/,http://www.preterm.org/,http://toledoabortioncenter.com/welcome/,http://www.preterm.org/,http://www.preterm.org/,http://www.womensmedcenter.com/,https://www.yourchoicecbus.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://www.yourchoicecbus.com/,https://northeastohioabortion.com/,https://www.yourchoicecbus.com/,https://www.yourchoicecbus.com/,http://toledoabortioncenter.com/welcome/,https://northeastohioabortion.com/,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.yourchoicecbus.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://www.yourchoicecbus.com/,https://www.yourchoicecbus.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://northeastohioabortion.com/,http://www.womensmedcenter.com/,http://toledoabortioncenter.com/welcome/,https://www.yourchoicecbus.com/,http://toledoabortioncenter.com/welcome/,https://northeastohioabortion.com/,http://toledoabortioncenter.com/welcome/,http://www.womensmedcenter.com/,http://toledoabortioncenter.com/welcome/,http://toledoabortioncenter.com/welcome/,https://northeastohioabortion.com/,http://www.womensmedcenter.com/,http://toledoabortioncenter.com/welcome/,http://www.womensmedcenter.com/,http://www.womensmedcenter.com/,https://www.yourchoicecbus.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,http://www.preterm.org/,http://toledoabortioncenter.com/welcome/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://www.yourchoicecbus.com/,http://www.womensmedcenter.com/,https://northeastohioabortion.com/,https://northeastohioabortion.com/,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/bedford-heights/44146/bedford-heights-surgery-center-4061-91230,http://toledoabortioncenter.com/welcome/,http://www.womensmedcenter.com/,http://www.womensmedcenter.com/,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/bedford-heights/44146/bedford-heights-surgery-center-4061-91230,https://northeastohioabortion.com/,http://www.preterm.org/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,http://www.womensmedcenter.com/,https://www.yourchoicecbus.com/,http://toledoabortioncenter.com/welcome/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://northeastohioabortion.com/,http://toledoabortioncenter.com/welcome/,https://www.yourchoicecbus.com/,https://northeastohioabortion.com/,https://northeastohioabortion.com/,http://www.womensmedcenter.com/,https://www.yourchoicecbus.com/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://northeastohioabortion.com/,http://www.womensmedcenter.com/,https://www.yourchoicecbus.com/,http://www.womensmedcenter.com/,http://www.preterm.org/,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/cincinnati/45219/cincinnati-surgical-center-3347-91260/abortion,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,http://www.womensmedcenter.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://northeastohioabortion.com/,http://toledoabortioncenter.com/welcome/,http://toledoabortioncenter.com/welcome/,https://northeastohioabortion.com/,https://www.yourchoicecbus.com/,https://northeastohioabortion.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,http://www.preterm.org/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230,https://northeastohioabortion.com/,https://www.plannedparenthood.org/health-center/ohio/columbus/43213/east-columbus-surgical-center-2335-91230
distance,53.0 mi. away,0.4 mi. away,1.7 mi. away,27.5 mi. away,45.5 mi. away,57.5 mi. away,96.6 mi. away,49.4 mi. away,12.3 mi. away,10.9 mi. away,43.1 mi. away,6.0 mi. away,31.9 mi. away,5.5 mi. away,38.4 mi. away,55.2 mi. away,5.1 mi. away,21.3 mi. away,31.9 mi. away,2.9 mi. away,6.5 mi. away,10.0 mi. away,63.7 mi. away,2.4 mi. away,22.7 mi. away,1.3 mi. away,22.9 mi. away,32.8 mi. away,18.4 mi. away,47.1 mi. away,18.2 mi. away,32.9 mi. away,25.9 mi. away,0.9 mi. away,71.8 mi. away,50.7 mi. away,29.6 mi. away,57.2 mi. away,36.8 mi. away,8.0 mi. away,3.5 mi. away,56.0 mi. away,61.8 mi. away,24.3 mi. away,20.3 mi. away,24.7 mi. away,4.2 mi. away,52.1 mi. away,26.6 mi. away,37.3 mi. away,76.8 mi. away,18.6 mi. away,11.3 mi. away,14.3 mi. away,61.3 mi. away,80.3 mi. away,10.7 mi. away,35.5 mi. away,11.2 mi. away,2.5 mi. away,29.9 mi. away,60.8 mi. away,34.4 mi. away,10.1 mi. away,24.6 mi. away,11.3 mi. away,37.2 mi. away,17.7 mi. away,44.9 mi. away,71.2 mi. away,27.1 mi. away,33.7 mi. away,37.7 mi. away,19.2 mi. away,8.3 mi. away,16.1 mi. away,5.4 mi. away,20.9 mi. away,44.4 mi. away,27.4 mi. away,4.2 mi. away,6.1 mi. away,68.0 mi. away,9.2 mi. away,44.5 mi. away,52.0 mi. away,51.2 mi. away,46.8 mi. away,46.4 mi. away,38.1 mi. away,51.9 mi. away,8.4 mi. away,46.8 mi. away,11.4 mi. away,52.5 mi. away,28.6 mi. away,11.5 mi. away,5.4 mi. away,21.1 mi. away,11.5 mi. away,11.7 mi. away,33.0 mi. away,18.5 mi. away,30.8 mi. away,63.7 mi. away,4.9 mi. away,4.7 mi. away,21.2 mi. away,3.5 mi. away,2.8 mi. away,53.1 mi. away,5.7 mi. away,23.8 mi. away
address,"1160 West Sylvania Avenue, Toledo, OH 43612","2314 Auburn Avenue, Cincinnati, OH 45219","12000 Shaker Boulevard, Cleveland, OH 44120","12000 Shaker Boulevard, Cleveland, OH 44120","1401 East Stroop Road, Dayton, OH 45429","2314 Auburn Avenue, Cincinnati, OH 45219","3255 East Main Street, Columbus, OH 43213","1160 West Sylvania Avenue, Toledo, OH 43612","1401 East Stroop Road, Dayton, OH 45429","2127 State Road, Cuyahoga Falls, OH 44223","1160 West Sylvania Avenue, Toledo, OH 43612","2314 Auburn Avenue, Cincinnati, OH 45219","1160 West Sylvania Avenue, Toledo, OH 43612","12000 Shaker Boulevard, Cleveland, OH 44120","1160 West Sylvania Avenue, Toledo, OH 43612","12000 Shaker Boulevard, Cleveland, OH 44120","12000 Shaker Boulevard, Cleveland, OH 44120","1401 East Stroop Road, Dayton, OH 45429","6721 Karl Road, Columbus, OH 43229","3255 East Main Street, Columbus, OH 43213","2314 Auburn Avenue, Cincinnati, OH 45219","2314 Auburn Avenue, Cincinnati, OH 45219","3255 East Main Street, Columbus, OH 43213","6721 Karl Road, Columbus, OH 43229","2127 State Road, Cuyahoga Falls, OH 44223","6721 Karl Road, Columbus, OH 43229","6721 Karl Road, Columbus, OH 43229","1160 West Sylvania Avenue, Toledo, OH 43612","2127 State Road, Cuyahoga Falls, OH 44223","1401 East Stroop Road, Dayton, OH 45429","2314 Auburn Avenue, Cincinnati, OH 45219","6721 Karl Road, Columbus, OH 43229","3255 East Main Street, Columbus, OH 43213","1401 East Stroop Road, Dayton, OH 45429","3255 East Main Street, Columbus, OH 43213","6721 Karl Road, Columbus, OH 43229","6721 Karl Road, Columbus, OH 43229","3255 East Main Street, Columbus, OH 43213","2127 State Road, Cuyahoga Falls, OH 44223","1401 East Stroop Road, Dayton, OH 45429","1160 West Sylvania Avenue, Toledo, OH 43612","6721 Karl Road, Columbus, OH 43229","1160 West Sylvania Avenue, Toledo, OH 43612","2127 State Road, Cuyahoga Falls, OH 44223","1160 West Sylvania Avenue, Toledo, OH 43612","1401 East Stroop Road, Dayton, OH 45429","1160 West Sylvania Avenue, Toledo, OH 43612","1160 West Sylvania Avenue, Toledo, OH 43612","2127 State Road, Cuyahoga Falls, OH 44223","1401 East Stroop Road, Dayton, OH 45429","1160 West Sylvania Avenue, Toledo, OH 43612","1401 East Stroop Road, Dayton, OH 45429","1401 East Stroop Road, Dayton, OH 45429","6721 Karl Road, Columbus, OH 43229","3255 East Main Street, Columbus, OH 43213","3255 East Main Street, Columbus, OH 43213","12000 Shaker Boulevard, Cleveland, OH 44120","1160 West Sylvania Avenue, Toledo, OH 43612","2314 Auburn Avenue, Cincinnati, OH 45219","3255 East Main Street, Columbus, OH 43213","6721 Karl Road, Columbus, OH 43229","1401 East Stroop Road, Dayton, OH 45429","2127 State Road, Cuyahoga Falls, OH 44223","2127 State Road, Cuyahoga Falls, OH 44223","1401 East Stroop Road, Dayton, OH 45429","2314 Auburn Avenue, Cincinnati, OH 45219","2314 Auburn Avenue, Cincinnati, OH 45219","25350 Rockside Rd, Bedford Heights, OH 44146","1160 West Sylvania Avenue, Toledo, OH 43612","1401 East Stroop Road, Dayton, OH 45429","1401 East Stroop Road, Dayton, OH 45429","1401 East Stroop Road, Dayton, OH 45429","25350 Rockside Rd, Bedford Heights, OH 44146","3461 Warrensville Center Road, Suite 202, Shaker Heights, OH 44122","12000 Shaker Boulevard, Cleveland, OH 44120","2314 Auburn Avenue, Cincinnati, OH 45219","3255 East Main Street, Columbus, OH 43213","1401 East Stroop Road, Dayton, OH 45429","3255 East Main Street, Columbus, OH 43213","2314 Auburn Avenue, Cincinnati, OH 45219","1401 East Stroop Road, Dayton, OH 45429","6721 Karl Road, Columbus, OH 43229","1160 West Sylvania Avenue, Toledo, OH 43612","3255 East Main Street, Columbus, OH 43213","2127 State Road, Cuyahoga Falls, OH 44223","1160 West Sylvania Avenue, Toledo, OH 43612","6721 Karl Road, Columbus, OH 43229","2127 State Road, Cuyahoga Falls, OH 44223","2127 State Road, Cuyahoga Falls, OH 44223","1401 East Stroop Road, Dayton, OH 45429","6721 Karl Road, Columbus, OH 43229","2314 Auburn Avenue, Cincinnati, OH 45219","3461 Warrensville Center Road, Suite 202, Shaker Heights, OH 44122","1401 East Stroop Road, Dayton, OH 45429","6721 Karl Road, Columbus, OH 43229","1401 East Stroop Road, Dayton, OH 45429","12000 Shaker Boulevard, Cleveland, OH 44120","1401 East Stroop Road, Dayton, OH 45429","2314 Auburn Avenue, Cincinnati, OH 45219","3255 East Main Street, Columbus, OH 43213","1401 East Stroop Road, Dayton, OH 45429","3255 East Main Street, Columbus, OH 43213","2127 State Road, Cuyahoga Falls, OH 44223","1160 West Sylvania Avenue, Toledo, OH 43612","1160 West Sylvania Avenue, Toledo, OH 43612","2127 State Road, Cuyahoga Falls, OH 44223","6721 Karl Road, Columbus, OH 43229","2127 State Road, Cuyahoga Falls, OH 44223","3255 East Main Street, Columbus, OH 43213","12000 Shaker Boulevard, Cleveland, OH 44120","3255 East Main Street, Columbus, OH 43213","2127 State Road, Cuyahoga Falls, OH 44223","3255 East Main Street, Columbus, OH 43213"
