Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Pregnancy Resource Center of Salt Lake City @ American Fork,364 E State St,American Fork,Utah (UT),84003,,,"https://www.google.com/search?client=firefox-b-1-d&q=Pregnancy+Resource+Center+of+Salt+Lake+City+@+American+Fork+American+Fork,+UT+84003&ludocid=10914933199209610498&lsig=AB86z5Ux8oeFC7xLmyEM_wE5SGGF&sa=X&ved=2ahUKEwi7y6XD1o3wAhXChOAKHaJuDq4QoAIwAHoECAUQBw&biw=1608&bih=863",,
Pregnancy Care Center of Brigham City,"​142 South 100 West, Suite 101",Brigham City,Utah (UT),84302,,https://www.pccbc.org/,,,
The Center for Pregnancy Choices,"90 North 100 East, Suite 140",Logan,Utah (UT),84321,,https://centerforpregnancychoices.com/,"https://www.google.com/maps/place/The+Center+For+Pregnancy+Choices/@41.7330499,-111.8317048,15z/data=!4m5!3m4!1s0x0:0x7b54a361b0778f29!8m2!3d41.7330499!4d-111.8317048",https://www.facebook.com/thecenterforpregnancychoices/,
Arches New Hope Pregnancy Center,205 S. 400 E,Moab,Utah (UT),84532,,https://archesnewhope.org/,"https://www.google.com/maps/place/Arches+New+Hope+Pregnancy+Center/@38.5700135,-109.5426996,15z/data=!4m5!3m4!1s0x0:0xa91512c4addc0aa5!8m2!3d38.5700135!4d-109.5426996",https://www.facebook.com/pregnancyresource/,
Pregnancy Help Center of Park City,1850 Sidewinder Dr Suite 420,Park City,Utah (UT),84060,,https://www.phcofparkcity.care/,"https://www.google.com/maps/place/Pregnancy+Help+Center+of+Park+City/@40.6642318,-111.4974382,15z/data=!4m5!3m4!1s0x0:0xb41515d095cd76d1!8m2!3d40.6642318!4d-111.4974382",,
Castle Country Pregnancy Resource Center,836 E 100 N Suite 5,Price,Utah (UT),84501,,https://www.castlecountryprc.org/,"https://www.google.com/maps/place/Castle+Country+Pregnancy+Resource+Center/@39.6008432,-110.7961302,15z/data=!4m5!3m4!1s0x0:0x6f3420e9a1aeb8d4!8m2!3d39.6008432!4d-110.7961302",https://www.facebook.com/Castlecountryprc/,
Journey Clinic,1937 West 5700 South,Roy,Utah (UT),84067,,https://www.journeyclinic.org/,"https://www.google.com/maps/place/Journey+Clinic/@41.1594634,-112.0271927,15z/data=!4m5!3m4!1s0x0:0x4f98ebc660daf9f8!8m2!3d41.1594634!4d-112.0271927",,
Pregnancy Resource Center of Salt Lake City,"644 S 900, E #3478",Salt Lake City,Utah (UT),84102,(801) 363-5433,https://www.pregnancyresource.net/,,,https://www.yelp.com/biz/pregnancy-resource-center-of-salt-lake-city-salt-lake-city
Hope Pregnancy Care Center,391 East 500 South,St. George,Utah (UT),84770,,https://hopepregnancyutah.org/,"https://www.google.com/maps/place/Hope+Pregnancy+Care+Center+of+St.+George/@37.099917,-113.575203,15z/data=!4m5!3m4!1s0x0:0xc571d29f03aa288d!8m2!3d37.099917!4d-113.575203",,
