Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Pregnancy Problem Center of Honolulu,"1414 Dillingham Blvd, Suite 207",Honolulu,Hawaii (HI),96817,,http://www.pregnancyunplanned.com/,"https://www.google.com/maps/place/Pregnancy+Problem+Center/@21.3245618,-157.8757599,15z/data=!4m2!3m1!1s0x0:0x60865c27a6896fdf?sa=X&ved=0ahUKEwj9o_DX1f7bAhWk6IMKHdJyBBQQ_BIIjgEwCg",https://www.facebook.com/pregnancyproblemcentersofhawaii/,https://www.yelp.com/biz/pregnancy-problem-center-honolulu
The Pearson Foundation of HI ,1145 Bishop St ,Honolulu,Hawaii (HI),96813,,,,,https://www.yelp.com/biz/the-pearson-foundation-of-hi-honolulu?fsid=OhQhhYIGlh0M01n1n5GF1w
The Pregnancy Center - Kona,74 - 5565 Luhia St,Kailua Kona,Hawaii (HI),96740,,http://www.tpckona.com/,"https://www.google.com/maps/place/The+Pregnancy+Center/@19.5276881,-156.1397114,12z/data=!4m5!3m4!1s0x0:0x93efd403c63634be!8m2!3d19.648397!4d-156.000022",https://www.facebook.com/TPCKona,https://www.yelp.com/biz/the-pregnancy-center-kailua-kona
Aloha Pregnancy Care/Counseling Ctrs,"45-1151 Kamehameha Hwy, Ste G",Kaneohe,Hawaii (HI),96744,,http://www.alohapregnancysolutions.com,"https://www.google.com/maps/place/Aloha+Pregnancy+Care+%26+Counseling+Center/@21.418274,-157.80137,15z/data=!4m2!3m1!1s0x0:0x239f658efcf87341?sa=X&ved=2ahUKEwjf676SpZTkAhXS1VkKHcNcA9wQ_BIwE3oECAoQCA",https://www.facebook.com/AlohaPregnancyCenter/,https://www.yelp.com/biz/aloha-preg-care-and-counseling-center-kaneohe?fsid=OhQhhYIGlh0M01n1n5GF1w
Pregnancy Problem Center of Kohala,53 - 540 Iole Rd,Kapaau,Hawaii (HI),96775,,,,,
Ohana Pregnancy Referrals,Kawankakai Baptist Church ofc.A,Kaunakakai,Hawaii (HI),86748,,,,,https://www.yelp.com/biz/ohana-pregnancy-referrals-kaunakakai?fsid=OhQhhYIGlh0M01n1n5GF1w
Pregnancy Problem Ctr of Pearl City,379H Kamehameha Hwy,Pearl City,Hawaii (HI),96782,,https://www.pregnancyproblemcenter.org/,"https://www.google.com/maps/place/Pregnancy+Problem+Center/@21.3876866,-157.9564102,15z/data=!4m2!3m1!1s0x0:0x7e4beb78e62356be?sa=X&ved=0ahUKEwibh_Xf1v7bAhUD2IMKHaYEA3sQ_BIIdDAK",Link expired,https://www.yelp.com/biz/pregnancy-problem-center-pearl-city
Malama Pregnancy Center of Maui,64 Central Ave,Wailuku,Hawaii (HI),86793,,http://mauipregnancycenter.com,"https://www.google.com/maps/place/Malama+Pregnancy+Center/@20.8897718,-156.5001899,15z/data=!4m5!3m4!1s0x0:0xe510520f4887eb67!8m2!3d20.8897718!4d-156.5001899",https://www.facebook.com/mpcmaui/,
A Place For Women in Waipio,"94-1044 Waipio Uka St, 2nd Floor",Waipahu,Hawaii (HI),96797,,http://aplaceforwomeninwaipio.com,"https://www.google.com/maps/place/A+Place+for+Women+in+Waipio/@21.4130552,-157.999139,15z/data=!4m2!3m1!1s0x0:0x2e05734eec2632f8?sa=X&ved=0ahUKEwj0sqn29vzbAhWk6IMKHdJyBBQQ_BIIswEwGA",https://www.facebook.com/aplaceforwomeninwaipio/,https://www.yelp.com/biz/aloha-preg-care-and-couns-center-pearl-harbour-waipahu?fsid=911J05yLw7ykUKxlxa0g0A
