Name ,Address,City,State,Zip Code,Phone Number,Website,Google Business Page,Facebook,Yelp
Life Choices Community Pregnancy Clinic,"1201 N. Stewart St., Ste.110",Carson City,Nevada (NV),89702,,​http://www.communitypregnancycenter.com,,, ​https://www.yelp.com/biz/community-pregnancy-center-of-carson-city-carson-city
Care Net Pregnancy Center of Churchill County,75 N Ada St,Fallon,Nevada (NV),89406,, ​http://www.carenetpcc.org,,,
Crisis Pregnancy Center,50 S West,Fernley,Nevada (NV),89408,, ​http://renocrisinpregnancy/,,https://www.facebook.com/Fernley-Crisis-Pregnancy-Center-1510336612592399/,
First Choice Pregnancy Services,860 E Sahara Ave Suite 1,Las Vegas,Nevada (NV),89104,, ​www.firstchoicelv.org,"https://www.google.com/maps/place/First+Choice+Pregnancy+Services/@36.1452068,-115.1452199,17z/data=!3m1!4b1!4m5!3m4!1s0x80c8c47e7533588b:0x3fecc5efc8e6c28b!8m2!3d36.1452068!4d-115.1430312",https://www.facebook.com/FirstChoicePregnancyServicesLV/,https://www.yelp.com/biz/first-choice-las-vegas
Women's Resource Medical Centers,"2915 W Charleston Blvd, Ste 1",Las Vegas,Nevada (NV),89102,, ​www.wrmcsn.org,,,https://www.yelp.com/biz/womens-resource-medical-centers-of-southern-nevada-las-veg
​First Choice Pregnancy Center,"1601 E. Basin Avenue, Ste. 303",Pahrump,Nevada (NV),89060,,Website: ​www.pregnancypahrump.com,,,
Crisis Pregnancy Center of Reno,853 Haskell St,Reno,Nevada (NV),89509,, ​https://crisispregnancyreno.com/,,,https://www.yelp.com/biz/crisis-pregnancy-center-reno
