,url,urls_visited,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
1,https://adoorofhope.org/,20.0,count3,"('var', 396.0)","('function', 272.0)","('your', 236.0)","('you', 209.0)","('door', 160.0)","('return', 149.0)","('hope', 134.0)","('abortion', 109.0)","('new', 108.0)","('our', 94.0)","('index', 90.0)","('auto', 90.0)","('this', 90.0)","('about', 86.0)","('paypal', 86.0)","('have', 80.0)","('can', 77.0)","('typeof', 76.0)","('hitobject', 75.0)","('pregnancy', 75.0)","('account', 69.0)","('make', 66.0)","('help', 61.0)","('more', 59.0)","('else', 58.0)","('information', 55.0)","('all', 54.0)","('screen', 51.0)","('donation', 50.0)","('not', 49.0)","('none', 48.0)","('free', 48.0)","('resources', 46.0)","('contact', 39.0)","('try', 39.0)","('please', 38.0)","('services', 38.0)","('appointment', 36.0)","('recovery', 36.0)","('their', 35.0)","('post', 34.0)","('past', 34.0)","('gift', 34.0)","('design', 34.0)","('response', 33.0)","('solid', 32.0)","('center', 31.0)","('who', 31.0)","('daor', 30.0)","('card', 30.0)","('call', 30.0)","('donate', 30.0)","('email', 30.0)","('opt-out', 30.0)","('use', 29.0)","('page', 29.0)","('file', 28.0)","('women', 28.0)","('out', 28.0)","('aid', 27.0)","('may', 27.0)","('main', 27.0)","('link', 27.0)","('pill', 26.0)","('medical', 26.0)","('only', 26.0)","('lancaster', 25.0)","('like', 25.0)","('monthly', 24.0)","('need', 23.0)","('info', 22.0)","('tax', 22.0)","('organization', 22.0)","('want', 22.0)","('one', 22.0)","('website', 22.0)","('funded', 21.0)","('annual', 21.0)","('time', 21.0)","('non-profit', 21.0)","('middletown', 21.0)","('client', 21.0)","('prayer', 21.0)","('content', 21.0)","('number', 20.0)","('housing', 20.0)","('others', 20.0)","('work', 20.0)","('address', 20.0)","('local', 20.0)","('offers', 20.0)","('giving', 19.0)","('day', 19.0)","('decisions', 19.0)","('high', 19.0)","('wilmington', 19.0)","('get', 19.0)","('search', 19.0)","('value', 19.0)","('facebook', 18.0)","('making', 18.0)","('under', 18.0)","('involved', 18.0)","('here', 18.0)","('walk', 18.0)","('facility', 18.0)","('agree', 18.0)","('verifying', 18.0)","('other', 18.0)","('donating', 18.0)","('street', 18.0)","('pike', 18.0)","('providing', 18.0)","('virtual', 18.0)","('catch', 18.0)","('first', 18.0)","('doc', 18.0)","('complete', 18.0)","('trauma', 17.0)","('any', 17.0)","('emotional', 17.0)","('baby', 17.0)","('appointments', 17.0)","('income', 17.0)","('skip', 17.0)","('create', 17.0)","('difficult', 17.0)","('support', 17.0)","('talk', 17.0)","('dinar', 16.0)","('visible', 16.0)","('direction', 16.0)","('join', 16.0)","('often', 16.0)","('donations', 16.0)","('just', 16.0)","('auto-generated', 16.0)","('journey', 16.0)","('payment', 16.0)","('same', 16.0)","('document', 16.0)","('ajaxurl', 16.0)","(nan, 16.0)","('licensed', 16.0)","('place', 16.0)","('advocates', 16.0)","('suffered', 16.0)","('supervision', 16.0)","('toward', 16.0)","('enter', 16.0)","('especially', 16.0)","('compassionate', 16.0)","('load', 16.0)","('again', 16.0)","('pain', 16.0)","('experienced', 16.0)","('trained', 16.0)","('rights', 16.0)","('inline', 16.0)","('wounds', 16.0)","('hesitate', 16.0)","('hit', 15.0)","('parameters', 15.0)","('noopfn', 15.0)","(""'timing'"", 15.0)","('made', 15.0)","('change', 15.0)","('reserved', 15.0)","('been', 15.0)","('confirm', 15.0)","('confidentiality', 15.0)","('dec', 15.0)","('action', 15.0)","('users', 15.0)","('disablestrs', 15.0)","('entered', 15.0)","('community', 15.0)","('disable', 15.0)","('compatibility', 15.0)","(""'object'"", 15.0)","('servicespregnancy', 15.0)","('hitconverted', 15.0)","('cookie', 15.0)","('tracking', 15.0)","('tracker', 15.0)","('gamap', 15.0)","('opted', 15.0)","('newtracker', 15.0)","('reversaldonate', 15.0)","('args', 15.0)","('copyright', 15.0)","('infoaboutblogcontactget', 15.0)","('infoabortion', 15.0)","('detect', 15.0)","('len', 15.0)","('take', 15.0)","('does', 14.0)","('must', 14.0)","('name', 14.0)","('delaware', 14.0)"
2,https://adoorofhope.org/,20.0,count4,"('var', 396.0)","('function', 272.0)","('your', 236.0)","('you', 209.0)","('door', 160.0)","('return', 149.0)","('hope', 134.0)","('abortion', 109.0)","('new', 108.0)","('our', 94.0)","('index', 90.0)","('auto', 90.0)","('this', 90.0)","('about', 86.0)","('paypal', 86.0)","('have', 80.0)","('can', 77.0)","('typeof', 76.0)","('hitobject', 75.0)","('pregnancy', 75.0)","('account', 69.0)","('make', 66.0)","('help', 61.0)","('more', 59.0)","('else', 58.0)","('information', 55.0)","('all', 54.0)","('screen', 51.0)","('donation', 50.0)","('not', 49.0)","('none', 48.0)","('free', 48.0)","('resources', 46.0)","('contact', 39.0)","('try', 39.0)","('please', 38.0)","('services', 38.0)","('appointment', 36.0)","('recovery', 36.0)","('their', 35.0)","('post', 34.0)","('past', 34.0)","('gift', 34.0)","('design', 34.0)","('response', 33.0)","('solid', 32.0)","('center', 31.0)","('who', 31.0)","('daor', 30.0)","('card', 30.0)","('call', 30.0)","('donate', 30.0)","('email', 30.0)","('opt-out', 30.0)","('use', 29.0)","('page', 29.0)","('file', 28.0)","('women', 28.0)","('out', 28.0)","('aid', 27.0)","('may', 27.0)","('main', 27.0)","('link', 27.0)","('pill', 26.0)","('medical', 26.0)","('only', 26.0)","('lancaster', 25.0)","('like', 25.0)","('monthly', 24.0)","('need', 23.0)","('info', 22.0)","('tax', 22.0)","('organization', 22.0)","('want', 22.0)","('one', 22.0)","('website', 22.0)","('funded', 21.0)","('annual', 21.0)","('time', 21.0)","('non-profit', 21.0)","('middletown', 21.0)","('client', 21.0)","('prayer', 21.0)","('content', 21.0)","('number', 20.0)","('housing', 20.0)","('others', 20.0)","('work', 20.0)","('address', 20.0)","('local', 20.0)","('offers', 20.0)","('giving', 19.0)","('day', 19.0)","('decisions', 19.0)","('high', 19.0)","('wilmington', 19.0)","('get', 19.0)","('search', 19.0)","('value', 19.0)","('facebook', 18.0)","('making', 18.0)","('under', 18.0)","('involved', 18.0)","('here', 18.0)","('walk', 18.0)","('facility', 18.0)","('agree', 18.0)","('verifying', 18.0)","('other', 18.0)","('donating', 18.0)","('street', 18.0)","('pike', 18.0)","('providing', 18.0)","('virtual', 18.0)","('catch', 18.0)","('first', 18.0)","('doc', 18.0)","('complete', 18.0)","('trauma', 17.0)","('any', 17.0)","('emotional', 17.0)","('baby', 17.0)","('appointments', 17.0)","('income', 17.0)","('skip', 17.0)","('create', 17.0)","('difficult', 17.0)","('support', 17.0)","('talk', 17.0)","('dinar', 16.0)","('visible', 16.0)","('direction', 16.0)","('join', 16.0)","('often', 16.0)","('donations', 16.0)","('just', 16.0)","('auto-generated', 16.0)","('journey', 16.0)","('payment', 16.0)","('same', 16.0)","('document', 16.0)","('ajaxurl', 16.0)","(nan, 16.0)","('licensed', 16.0)","('place', 16.0)","('advocates', 16.0)","('suffered', 16.0)","('supervision', 16.0)","('toward', 16.0)","('enter', 16.0)","('especially', 16.0)","('compassionate', 16.0)","('load', 16.0)","('again', 16.0)","('pain', 16.0)","('experienced', 16.0)","('trained', 16.0)","('rights', 16.0)","('inline', 16.0)","('wounds', 16.0)","('hesitate', 16.0)","('hit', 15.0)","('parameters', 15.0)","('noopfn', 15.0)","(""'timing'"", 15.0)","('made', 15.0)","('change', 15.0)","('reserved', 15.0)","('been', 15.0)","('confirm', 15.0)","('confidentiality', 15.0)","('dec', 15.0)","('action', 15.0)","('users', 15.0)","('disablestrs', 15.0)","('entered', 15.0)","('community', 15.0)","('disable', 15.0)","('compatibility', 15.0)","(""'object'"", 15.0)","('servicespregnancy', 15.0)","('hitconverted', 15.0)","('cookie', 15.0)","('tracking', 15.0)","('tracker', 15.0)","('gamap', 15.0)","('opted', 15.0)","('newtracker', 15.0)","('reversaldonate', 15.0)","('args', 15.0)","('copyright', 15.0)","('infoaboutblogcontactget', 15.0)","('infoabortion', 15.0)","('detect', 15.0)","('len', 15.0)","('take', 15.0)","('does', 14.0)","('must', 14.0)","('name', 14.0)","('delaware', 14.0)"
3,https://impregnant.org/,5.0,count5,"('our', 107.0)","('you', 87.0)","('have', 55.0)","('family', 49.0)","('your', 43.0)","('love', 41.0)","('eastern', 29.0)","('care', 29.0)","('ave', 29.0)","('time', 25.0)","('through', 25.0)","('adoption', 25.0)","('support', 24.0)","('foster', 23.0)","('child', 22.0)","('this', 22.0)","('her', 21.0)","('she', 19.0)","('about', 18.0)","('all', 18.0)","('know', 17.0)","('grand', 17.0)","('help', 17.0)","('services', 17.0)","('each', 17.0)","('home', 16.0)","('church', 16.0)","('years', 16.0)","('would', 16.0)","('global', 16.0)","('how', 16.0)","('god', 16.0)","('get', 15.0)","('families', 15.0)","('can', 15.0)","('into', 15.0)","('what', 13.0)","('but', 13.0)","('bethany', 13.0)","('been', 13.0)","('life', 13.0)","('new', 13.0)","('refugee', 12.0)","('find', 12.0)","('birth', 12.0)","('immigrant', 12.0)","('them', 12.0)","('friends', 11.0)","('like', 11.0)","('just', 11.0)","('being', 11.0)","('much', 11.0)","('when', 11.0)","('christian', 10.0)","('decision', 10.0)","('var', 10.0)","('part', 10.0)","('where', 10.0)","('around', 10.0)","('other', 10.0)","('not', 10.0)","('loving', 10.0)","('first', 10.0)","('his', 10.0)","('who', 10.0)","('together', 9.0)","('share', 9.0)","('make', 9.0)","('parents', 9.0)","('function', 9.0)","('very', 9.0)","('every', 9.0)","('learn', 8.0)","('little', 8.0)","('loves', 8.0)","('married', 8.0)","('whether', 8.0)","('met', 8.0)","('look', 8.0)","('work', 8.0)","('always', 8.0)","('going', 8.0)","('locations', 8.0)","('kids', 8.0)","('hope', 8.0)","('want', 8.0)","('play', 8.0)","('now', 8.0)","('display', 8.0)","('best', 8.0)","('pregnancy', 8.0)","('had', 7.0)","('one', 7.0)","('taking', 7.0)","('before', 7.0)","('israel', 7.0)","('praying', 7.0)","('also', 7.0)","('children', 7.0)","('named', 7.0)","('else', 7.0)","('see', 7.0)","('enjoy', 7.0)","('out', 7.0)","('most', 7.0)","('more', 7.0)","('violet', 7.0)","('able', 7.0)","('living', 6.0)","('lives', 6.0)","('plan', 6.0)","('thank', 6.0)","('amazing', 6.0)","('involved', 6.0)","('over', 6.0)","('fun', 6.0)","('resources', 6.0)","('events', 6.0)","('susie', 6.0)","('careers', 6.0)","('raise', 6.0)","('difficult', 6.0)","('both', 6.0)","('lot', 6.0)","('while', 6.0)","('works', 6.0)","('washington', 5.0)","(""we've"", 5.0)","(""god's"", 5.0)","('great', 5.0)","('knew', 5.0)","(""it's"", 5.0)","('give', 5.0)","('people', 5.0)","('any', 5.0)","('world', 5.0)","('donate', 5.0)","('desire', 5.0)","('day', 5.0)","('their', 5.0)","('start', 5.0)","('spending', 5.0)","('excited', 5.0)","('expectant', 5.0)","('profile', 5.0)","('truly', 5.0)","('own', 5.0)","('dinner', 5.0)","('sister', 5.0)","('megan', 5.0)","('important', 5.0)","('after', 5.0)","('since', 5.0)","('read', 5.0)","('things', 5.0)","('wonderful', 5.0)","('bring', 5.0)","('complete', 4.0)","('talk', 4.0)","('close', 4.0)","('school', 4.0)","('travel', 4.0)","('contact', 4.0)","('counselor', 4.0)","('colorado', 4.0)","('imagine', 4.0)","('counseling', 4.0)","('safe', 4.0)","('house', 4.0)","('they', 4.0)","('there', 4.0)","('chat', 4.0)","('different', 4.0)","('cannot', 4.0)","('gets', 4.0)","('short-term', 4.0)","('few', 4.0)","('felt', 4.0)","('family-based', 4.0)","('faith', 4.0)","('grew', 4.0)","('blessed', 4.0)","('center', 4.0)","('consider', 4.0)","('empower', 4.0)","('started', 4.0)","('beth’s', 4.0)","('gift', 4.0)","('hearts', 4.0)","('stories', 4.0)","('study', 4.0)","('helping', 4.0)","('room', 4.0)","('helps', 4.0)","('privacy', 4.0)","('well', 4.0)","('judith', 4.0)","('keep', 4.0)","('ask', 4.0)","('whatever', 4.0)"
4,https://adoorofhope.org/,20.0,count6,"('var', 396.0)","('function', 272.0)","('your', 236.0)","('you', 209.0)","('door', 160.0)","('return', 149.0)","('hope', 134.0)","('abortion', 109.0)","('new', 108.0)","('our', 94.0)","('index', 90.0)","('auto', 90.0)","('this', 90.0)","('about', 86.0)","('paypal', 86.0)","('have', 80.0)","('can', 77.0)","('typeof', 76.0)","('hitobject', 75.0)","('pregnancy', 75.0)","('account', 69.0)","('make', 66.0)","('help', 61.0)","('more', 59.0)","('else', 58.0)","('information', 55.0)","('all', 54.0)","('screen', 51.0)","('donation', 50.0)","('not', 49.0)","('none', 48.0)","('free', 48.0)","('resources', 46.0)","('contact', 39.0)","('try', 39.0)","('please', 38.0)","('services', 38.0)","('appointment', 36.0)","('recovery', 36.0)","('their', 35.0)","('post', 34.0)","('past', 34.0)","('gift', 34.0)","('design', 34.0)","('response', 33.0)","('solid', 32.0)","('center', 31.0)","('who', 31.0)","('daor', 30.0)","('card', 30.0)","('call', 30.0)","('donate', 30.0)","('email', 30.0)","('opt-out', 30.0)","('use', 29.0)","('page', 29.0)","('file', 28.0)","('women', 28.0)","('out', 28.0)","('aid', 27.0)","('may', 27.0)","('main', 27.0)","('link', 27.0)","('pill', 26.0)","('medical', 26.0)","('only', 26.0)","('lancaster', 25.0)","('like', 25.0)","('monthly', 24.0)","('need', 23.0)","('info', 22.0)","('tax', 22.0)","('organization', 22.0)","('want', 22.0)","('one', 22.0)","('website', 22.0)","('funded', 21.0)","('annual', 21.0)","('time', 21.0)","('non-profit', 21.0)","('middletown', 21.0)","('client', 21.0)","('prayer', 21.0)","('content', 21.0)","('number', 20.0)","('housing', 20.0)","('others', 20.0)","('work', 20.0)","('address', 20.0)","('local', 20.0)","('offers', 20.0)","('giving', 19.0)","('day', 19.0)","('decisions', 19.0)","('high', 19.0)","('wilmington', 19.0)","('get', 19.0)","('search', 19.0)","('value', 19.0)","('facebook', 18.0)","('making', 18.0)","('under', 18.0)","('involved', 18.0)","('here', 18.0)","('walk', 18.0)","('facility', 18.0)","('agree', 18.0)","('verifying', 18.0)","('other', 18.0)","('donating', 18.0)","('street', 18.0)","('pike', 18.0)","('providing', 18.0)","('virtual', 18.0)","('catch', 18.0)","('first', 18.0)","('doc', 18.0)","('complete', 18.0)","('trauma', 17.0)","('any', 17.0)","('emotional', 17.0)","('baby', 17.0)","('appointments', 17.0)","('income', 17.0)","('skip', 17.0)","('create', 17.0)","('difficult', 17.0)","('support', 17.0)","('talk', 17.0)","('dinar', 16.0)","('visible', 16.0)","('direction', 16.0)","('join', 16.0)","('often', 16.0)","('donations', 16.0)","('just', 16.0)","('auto-generated', 16.0)","('journey', 16.0)","('payment', 16.0)","('same', 16.0)","('document', 16.0)","('ajaxurl', 16.0)","(nan, 16.0)","('licensed', 16.0)","('place', 16.0)","('advocates', 16.0)","('suffered', 16.0)","('supervision', 16.0)","('toward', 16.0)","('enter', 16.0)","('especially', 16.0)","('compassionate', 16.0)","('load', 16.0)","('again', 16.0)","('pain', 16.0)","('experienced', 16.0)","('trained', 16.0)","('rights', 16.0)","('inline', 16.0)","('wounds', 16.0)","('hesitate', 16.0)","('hit', 15.0)","('parameters', 15.0)","('noopfn', 15.0)","(""'timing'"", 15.0)","('made', 15.0)","('change', 15.0)","('reserved', 15.0)","('been', 15.0)","('confirm', 15.0)","('confidentiality', 15.0)","('dec', 15.0)","('action', 15.0)","('users', 15.0)","('disablestrs', 15.0)","('entered', 15.0)","('community', 15.0)","('disable', 15.0)","('compatibility', 15.0)","(""'object'"", 15.0)","('servicespregnancy', 15.0)","('hitconverted', 15.0)","('cookie', 15.0)","('tracking', 15.0)","('tracker', 15.0)","('gamap', 15.0)","('opted', 15.0)","('newtracker', 15.0)","('reversaldonate', 15.0)","('args', 15.0)","('copyright', 15.0)","('infoaboutblogcontactget', 15.0)","('infoabortion', 15.0)","('detect', 15.0)","('len', 15.0)","('take', 15.0)","('does', 14.0)","('must', 14.0)","('name', 14.0)","('delaware', 14.0)"
