,index,Total
320,applied,3.0
321,apply,18.0
322,applying,1.0
323,appointed,1.0
324,appointment,187.0
325,appointmentabout,39.0
326,appointmentplease,1.0
327,appointments,26.0
328,appointmentsresearch,1.0
329,appreciate,1.0
330,appreciated,2.0
331,approach,3.0
332,approaches,1.0
333,appropriate,5.0
334,approximately,1.0
335,april,15.0
336,ar,3.0
337,arab,8.0
338,archived,6.0
339,archives,1.0
340,area,8.0
341,areas,1.0
342,arguments,1.0
343,arise,2.0
344,arising,7.0
345,arm,9.0
346,aroostook,2.0
347,around,11.0
348,arrange,7.0
349,arrangements,3.0
350,array,15.0
351,arrival,1.0
352,arrive,8.0
353,arriving,2.0
354,arrow,19.0
355,arsenal,2.0
356,art,3.0
357,articles,1.0
358,ask,48.0
359,asked,22.0
360,asking,2.0
361,asks,1.0
362,aspect,1.0
363,aspects,1.0
364,aspiration,14.0
365,assault,22.0
366,asserted,1.0
367,assess,2.0
368,assessment,2.0
369,assets,5.0
370,assign,3.0
371,assist,1.0
372,assistance,14.0
373,assistanceour,1.0
374,assisting,1.0
375,assists,1.0
376,assoc,6.0
377,associate,2.0
378,associated,3.0
379,associates,1.0
380,association,4.0
381,associations,1.0
382,assortment,1.0
383,assume,4.0
384,assumes,1.0
385,assurance,1.0
386,assure,1.0
387,at-home,6.0
388,at-row-full,6.0
389,at-row-solo,6.0
390,athenahealth,28.0
391,athenahealth's,3.0
392,athenahealth”,2.0
393,athenanet,2.0
394,atlantic,15.0
395,attack,6.0
396,attacks,27.0
397,attempt,2.0
398,attempting,1.0
399,attend,2.0
400,attendance,1.0
401,attending,4.0
402,attitudes,1.0
403,attorney,3.0
404,attorneynyc,3.0
405,attorneys,1.0
406,attribute,1.0
407,attributefilter,3.0
408,attributes,3.0
409,august,13.0
410,augusta,16.0
411,augusta-based,2.0
412,auth,6.0
413,authentication,1.0
414,authority,4.0
415,authorize,2.0
416,authorized,2.0
417,auto,240.0
418,auto-generated,39.0
419,autofocus,3.0
420,automated,1.0
421,automatic,6.0
422,automatically,7.0
423,autopopulate,42.0
424,availability,7.0
425,available,139.0
426,ave,1.0
427,avenue,2.0
428,avoid,4.0
429,awaiting,1.0
430,awareness,2.0
431,away,42.0
432,awesome,1.0
433,ayudarte,3.0
434,baby,6.0
435,back,283.0
436,background,76.0
437,background-color,75.0
438,bad,6.0
439,badword,9.0
440,badwordfilter,3.0
441,badwords,3.0
442,balances,6.0
443,ban,11.0
444,bangor,3.0
445,bank,6.0
446,bankruptcy,1.0
447,banner,2.0
448,bans,45.0
449,bar,2.0
450,barker,2.0
451,barrett,2.0
452,basados,6.0
453,base,1.0
454,based,19.0
455,bases,1.0
456,basic,13.0
457,basis,1.0
458,bass,1.0
459,basta,3.0
460,bathroom,1.0
461,battle,1.0
462,bay,1.0
463,bcome,2.0
464,beacons”,1.0
465,became,1.0
466,because,16.0
467,become,97.0
468,becomes,6.0
469,becoming,1.0
470,bedsider,2.0
471,been,32.0
472,bees,1.0
473,before,47.0
474,begin,1.0
475,beginning,1.0
476,behalf,7.0
477,behavior,3.0
478,behavioral,1.0
479,behaviors,2.0
480,behind,1.0
481,being,29.0
482,belfast,3.0
483,believe,8.0
484,believes,1.0
485,below,23.0
486,beneath,1.0
487,beneficiaries,3.0
488,beneficiary,1.0
489,benefit,16.0
490,benefits,7.0
491,benevity,1.0
492,benign,39.0
493,bequest,1.0
494,best,29.0
495,bestow,1.0
496,better,6.0
497,between,10.0
498,beyond,1.0
499,biden,1.0
500,big,1.0
501,bill,104.0
502,billed,5.0
503,billing,22.0
504,billion,1.0
505,billpatient,39.0
506,bills,5.0
507,binary,2.0
508,bind,3.0
509,binding,2.0
510,birds,1.0
511,birth,238.0
512,bisexual,2.0
513,bizarre,1.0
514,black,9.0
515,bleeding,6.0
516,block,19.0
517,blog,114.0
518,blood,12.0
519,blue,19.0
520,bluemail,84.0
521,blur,3.0
522,bmi,4.0
523,board,4.0
524,bodies,36.0
525,bodiesvolunteersbrochuresbirth,3.0
526,body,51.0
527,body',3.0
528,bogus,3.0
529,bone,2.0
530,book,135.0
531,booking,1.0
532,bookmark,1.0
533,border-color,90.0
534,borrowed,1.0
535,both,16.0
536,bothinfo,3.0
537,bots,1.0
538,bottom,3.0
539,bound,1.0
540,boundaries,2.0
541,bowdoin,12.0
542,box,11.0
543,box-shadow,30.0
544,br,9.0
545,brag,1.0
546,brand,5.0
547,brandid,1.0
548,breach,5.0
549,breakfast,1.0
550,breaking,3.0
551,breast,7.0
552,breastfeeding,1.0
553,breastfeeding/formula,1.0
554,brief,2.0
555,bring,22.0
556,bringing,1.0
557,brings,6.0
558,broad,1.0
559,broke,3.0
560,bronx,1.0
561,brought,2.0
562,brown,3.0
563,browse,1.0
564,browser,19.0
565,browsers,1.0
566,browsers',1.0
567,browsing,2.0
568,brunswick,2.0
569,bsd,1.0
570,bucket,3.0
571,budget,6.0
572,buffalo,1.0
573,bug,3.0
574,build,1.0
575,building,3.0
576,builds,1.0
577,business,14.0
578,but,31.0
579,buttermilk,1.0
580,button,40.0
581,buttons,12.0
582,buttonsubmit,42.0
583,buy,2.0
584,buzz,2.0
585,bypass,1.0
586,ca,4.0
587,cada,6.0
588,caicos,8.0
589,calais,2.0
590,calculate,2.0
591,calculating,2.0
592,calculation,4.0
593,calculator,1.0
594,california,4.0
595,call,150.0
596,called,8.0
597,callen,1.0
598,calling,7.0
599,calls,1.0
600,campaign,8.0
601,campaigns,23.0
602,campaignsapplynational,3.0
603,campaignshybridpublic,3.0
604,campaignspublic,3.0
605,campaign’s,1.0
606,can,359.0
607,can't,8.0
608,cancellation,9.0
609,cancelled,3.0
610,cancelling,3.0
611,cancer,25.0
612,candidates,3.0
613,cannot,13.0
614,can’t,3.0
615,cap,3.0
616,capacity,2.0
617,cape,1.0
618,capital,2.0
619,captions,6.0
620,capuchón,6.0
621,car,3.0
622,card,40.0
623,cards,16.0
624,care,458.0
625,caregiver,1.0
626,caregiver's,3.0
627,caregivers,1.0
628,careinformation,1.0
629,caremarket,1.0
630,carereproductive,39.0
631,careshare,1.0
632,careworking,1.0
633,caring,2.0
634,carmen,1.0
635,carried,2.0
636,carrier,1.0
637,cart,33.0
638,case,16.0
639,cases,2.0
640,casey,2.0
641,cash,4.0
642,cat's,3.0
643,catamaran,3.0
644,catch,6.0
645,categories,4.0
646,catheter,2.0
647,cause,6.0
648,caused,1.0
649,causes,2.0
650,caving,1.0
651,cba,3.0
652,cctext,3.0
653,cd,1.0
654,cdc,6.0
655,cease,1.0
656,celebrate,4.0
657,celebrating,2.0
658,cell,7.0
659,cells,3.0
660,center,103.0
661,centered,3.0
662,centering,2.0
663,centers,21.0
664,centers”,1.0
665,central,22.0
666,ceo,4.0
667,certain,14.0
668,certificate,1.0
669,certified,1.0
670,cervical,16.0
671,cervix,2.0
672,cessation,3.0
673,chair,1.0
674,chairs,1.0
675,challenged,2.0
676,challenges,2.0
677,challenging,3.0
678,champion,1.0
679,champions,4.0
680,chance,2.0
681,chances,3.0
682,change,44.0
683,changed,4.0
684,changes,21.0
685,changing,4.0
686,channel,14.0
687,characteristic,1.0
688,characteristics,1.0
689,characters,4.0
690,charge,10.0
691,charges,5.0
692,charging,3.0
693,charitable,6.0
694,charity,1.0
695,chart,6.0
696,chat,3.0
697,chatbot,9.0
698,chat’,1.0
699,check,53.0
700,check-ups,9.0
701,checkbox,30.0
702,checkboxes,15.0
703,checked,6.0
704,checks,2.0
705,chellie,1.0
706,cherished,1.0
707,chest,1.0
708,chief,31.0
709,child,88.0
710,childbearing,3.0
711,childcare,9.0
712,childhood,1.0
713,children,15.0
714,children’s,2.0
715,child’s,2.0
716,chirp,3.0
717,choice,8.0
718,choices,4.0
719,choicesfor,1.0
720,choicesyou,1.0
721,choose,157.0
722,choosing,6.0
723,chosen,3.0
724,christmas,9.0
725,chrome,1.0
726,chronic,1.0
727,church,4.0
728,cigna,3.0
729,circle,24.0
730,circuit,1.0
731,circumstances,1.0
732,circumvent,1.0
733,city,39.0
734,civic,2.0
735,civil,2.0
736,claim,2.0
737,claims,2.0
738,claimsfor,1.0
739,clarion,1.0
740,class,53.0
741,class-based,1.0
742,classes,7.0
743,classroom,3.0
744,classrooms,2.0
745,clean,9.0
746,cleanbadfirstname,3.0
747,cleanbadlastname,3.0
748,cleanbadword,3.0
749,clear,1.0
750,clerk,2.0
751,click,91.0
752,clicking,29.0
753,clicks,3.0
754,client,10.0
755,client's,1.0
756,clientid,3.0
757,clients,12.0
758,clinic,122.0
759,clinical,12.0
760,clinicpatient,39.0
761,clinics,43.0
762,clinic”,1.0
763,close,48.0
764,closed,31.0
765,closely,3.0
766,closer,2.0
767,closure,1.0
768,co,3.0
769,co-chair,1.0
770,coalition,14.0
771,coast,9.0
772,code,78.0
773,codified,1.0
774,coitus,6.0
775,coleman,1.0
776,collaborate,1.0
777,collaborates,2.0
778,collaborating,1.0
779,collaboration,2.0
780,colleagues,1.0
781,collect,6.0
782,collected,4.0
783,collection,6.0
784,collective,1.0
785,college,1.0
786,collins,3.0
787,color,60.0
788,colorful,1.0
789,colposcopycome,2.0
790,columbia,9.0
791,column,78.0
792,combating,1.0
793,combination,1.0
794,come,23.0
795,comedy,1.0
796,comes,10.0
797,comfort,1.0
798,comfortable,1.0
799,coming,15.0
800,command,1.0
801,commence,1.0
802,commences,1.0
803,comments,6.0
804,commission,1.0
805,commit,2.0
806,commitment,7.0
807,committed,3.0
808,committee,7.0
809,committees,3.0
810,common,6.0
811,commonly,3.0
812,commonsense,1.0
813,commonwealth,1.0
814,communicate,3.0
815,communicated,1.0
816,communicating,1.0
817,communication,5.0
818,communicationask,1.0
