,index,Total
336,boundaries,2.0
337,bowdoin,1.0
338,box,1.0
339,boxes,2.0
340,boyfriend,2.0
341,br,1.0
342,brand,2.0
343,brands,1.0
344,brattleboro,1.0
345,brave,1.0
346,breaches,3.0
347,breast,1.0
348,breasts,2.0
349,breeze,1.0
350,bridgton,1.0
351,bring,4.0
352,browse,6.0
353,browser,4.0
354,bruceton,1.0
355,brush,1.0
356,bua,1.0
357,bubble,1.0
358,buccal,1.0
359,buddy,1.0
360,buddys,1.0
361,build,2.0
362,building,3.0
363,buildings,2.0
364,built,3.0
365,business,9.0
366,businesses,3.0
367,busy,1.0
368,but,37.0
369,button,1.0
370,buttons,1.0
371,buy,2.0
372,buying,3.0
373,ca,10.0
374,cafehope,2.0
375,caicos,5.0
376,calculation,3.0
377,calendar,1.0
378,california,3.0
379,call,51.0
380,called,4.0
381,calling,2.0
382,calls,3.0
383,calmly,1.0
384,calmness,1.0
385,came,2.0
386,campaign,2.0
387,campaigns,2.0
388,campus,2.0
389,can,114.0
390,can't,2.0
391,canal,1.0
392,cannot,5.0
393,can’t,3.0
394,capable,1.0
395,capacity,1.0
396,cape,1.0
397,capital,2.0
398,captcha,3.0
399,capture,2.0
400,car,2.0
401,card,2.0
402,care,21.0
403,carefully,1.0
404,caring,6.0
405,carolina,2.0
406,carpet,1.0
407,carried,1.0
408,carry,2.0
409,carshare,1.0
410,cascade,1.0
411,casco,1.0
412,case,2.0
413,catch,1.0
414,category,1.0
415,caught,1.0
416,causal,1.0
417,cause,5.0
418,caused,4.0
419,causes,4.0
420,causing,1.0
421,ceased,1.0
422,celebrate,1.0
423,celebrations,1.0
424,celina,1.0
425,censor,2.0
426,censorship,1.0
427,center,208.0
428,centerhope,2.0
429,centers,16.0
430,centers–,1.0
431,center’s,8.0
432,center“definitely,1.0
433,central,5.0
434,certain,4.0
435,certified,5.0
436,cervix,1.0
437,cha,1.0
438,challenges,2.0
439,challenging,2.0
440,chance,5.0
441,chances,1.0
442,change,6.0
443,changed,3.0
444,changes,7.0
445,changing,1.0
446,chaos,1.0
447,character-based,1.0
448,characters,3.0
449,charge,1.0
450,charlotte,2.0
451,chat,5.0
452,check,19.0
453,check-out,1.0
454,checked,1.0
455,checking,2.0
456,checklist,1.0
457,chemical,1.0
458,cheverus,1.0
459,chicago,2.0
460,chicago-kent,2.0
461,child,11.0
462,child-friendly,1.0
463,childdiv,2.0
464,children,1.0
465,child’s,1.0
466,chill,1.0
467,chloride,1.0
468,choice,297.0
469,choices,6.0
470,choose,28.0
471,chooses,1.0
472,choosing,2.0
473,chosen,2.0
474,christ,1.0
475,christian,5.0
476,christina,2.0
477,christopher,1.0
478,christopher-stanley,1.0
479,church,1.0
480,circulating,1.0
481,circumstances,2.0
482,circumvent,1.0
483,citations,1.0
484,cities,3.0
485,city,3.0
486,claimed,3.0
487,claims,2.0
488,clarissa,1.0
489,class,1.0
490,classes,4.0
491,clean,2.0
492,cleaning,1.0
493,clear,1.0
494,clearly,3.0
495,click,1.0
496,clicking,2.0
497,client,35.0
498,clients,4.0
499,clinic,8.0
500,clinical,1.0
501,close,2.0
502,closed,21.0
503,closer,2.0
504,closes,75.0
505,club,1.0
506,clubs,3.0
507,co,2.0
508,co-workers,1.0
509,coal,1.0
510,coast,2.0
511,coastal,2.0
512,cock,1.0
513,code,1.0
514,codes,20.0
515,coffeyville,1.0
516,cohort,1.0
517,collect,2.0
518,collected,2.0
519,collection,2.0
520,collects,3.0
521,college,15.0
522,colleges,1.0
523,color,112.0
524,colorado,2.0
525,columbia,1.0
526,combination,1.0
527,come,6.0
528,comes,7.0
529,comfort,18.0
530,comfortable,1.0
531,coming,3.0
532,comments,1.0
533,commerce,1.0
534,commercial,1.0
535,commitment,3.0
536,committed,3.0
537,common,11.0
538,commonly,4.0
539,communicate,1.0
540,communication,6.0
541,communications,1.0
542,community,8.0
543,companies,1.0
544,compare,1.0
545,compared,1.0
546,compassionate,3.0
547,compete,1.0
548,competition,1.0
549,competitive,1.0
550,complete,9.0
551,completely,4.0
552,completeness,1.0
553,complexes,1.0
554,complicated,1.0
555,complication-factor,1.0
556,complications,5.0
557,complies,20.0
558,compliments,1.0
559,components,1.0
560,comprehensive,7.0
561,compromise,1.0
562,computer,6.0
563,computers,1.0
564,concentrations,1.0
565,conception,4.0
566,concern,1.0
567,concerning,1.0
568,concerns,2.0
569,concise,1.0
570,conclusive,1.0
571,condition,1.0
572,conditions,10.0
573,condom,2.0
574,condoms,1.0
575,confide,17.0
576,confidence,2.0
577,confident,1.0
578,confidential,123.0
579,confidentiality,3.0
580,confidential—know,1.0
581,confirm,10.0
582,confirmation,3.0
583,confirming,1.0
584,connect,1.0
585,connected,1.0
586,connecticut,1.0
587,connection,1.0
588,cons,1.0
589,consent,2.0
590,consequences,1.0
591,consequential,1.0
592,consider,9.0
593,considered,2.0
594,considering,21.0
595,consistently,1.0
596,const,3.0
597,construction,3.0
598,consult,1.0
599,consultation,12.0
600,consultations,4.0
601,consume,1.0
602,contact,153.0
603,contacted,2.0
604,contacting,1.0
605,contained,4.0
606,containing,1.0
607,content,38.0
608,contents,1.0
609,contextmenu,3.0
610,continue,7.0
611,continues,2.0
612,continuing,2.0
613,contraception,32.0
614,contract,3.0
615,contracting,1.0
616,contractors,1.0
617,control,6.0
618,convenience,1.0
619,conversations,2.0
620,conversion,2.0
621,conversions,1.0
622,conversions-focused,1.0
623,convert,1.0
624,convinced,2.0
625,cookie,3.0
626,cookies,11.0
627,cool,1.0
628,cooling,2.0
629,copies,1.0
630,copy,1.0
631,copyright,54.0
632,copyrighted,2.0
633,copyrights,1.0
634,coronavirus,1.0
635,correct,16.0
636,correlation,2.0
637,cost,28.0
638,cost-per-click,1.0
639,costly,1.0
640,costs,3.0
641,cougle,1.0
642,could,28.0
643,could't,1.0
644,couldn't,1.0
645,couldn’t,1.0
646,counsel,1.0
647,counseling,7.0
648,counselors,1.0
649,countless,1.0
650,countries,1.0
651,country,1.0
652,county,3.0
653,couple,5.0
654,couples,3.0
655,courage,1.0
656,course,1.0
657,courses,6.0
658,covers,1.0
659,cpa,2.0
660,cramping,2.0
661,cream,1.0
662,create,3.0
663,created,24.0
664,creates,2.0
665,creating,1.0
666,creation,3.0
667,credible,1.0
668,credit,2.0
669,crisis,1.0
670,criteria,1.0
671,critical,2.0
672,cross,2.0
673,crows,1.0
674,cruz,1.0
675,css,20.0
676,ct,1.0
677,culture,2.0
678,cultures,1.0
679,cumberland,7.0
680,cured,1.0
681,curettage,1.0
682,current,2.0
683,currently,1.0
684,curtain,1.0
685,curve,1.0
686,custom,1.0
687,cut,1.0
688,cycle,2.0
689,da,3.0
690,dakota,2.0
691,dalton,1.0
692,damage,1.0
693,damages,4.0
694,danger,1.0
695,dangerous,2.0
696,daniel,16.0
697,danses,1.0
698,das,1.0
699,data,4.0
700,data-driven,1.0
701,date,3.0
702,dates,6.0
703,dating,3.0
704,david,2.0
705,day,5.0
706,day-to-day,1.0
707,daylight,3.0
708,days,9.0
709,dayton,1.0
710,daytona,1.0
711,de,12.0
712,deactivate,1.0
713,deactivating,3.0
714,dead,3.0
715,deal,2.0
716,dealers,1.0
717,dealing,1.0
718,dec,1.0
719,decatur,2.0
720,decency,1.0
721,decide,6.0
722,decision,25.0
723,decision-making,2.0
724,decisioncall,1.0
725,decisions,6.0
726,decision…,1.0
727,declare,1.0
728,decor,1.0
729,decorum,1.0
730,decrease,1.0
731,deem,2.0
732,deemed,1.0
733,deep,2.0
734,deering,1.0
735,defeat,1.0
736,defects,1.0
737,defending,1.0
738,defined,1.0
739,defines,1.0
740,defining,1.0
741,definitely,1.0
742,degrees,1.0
743,dehli,1.0
744,del,14.0
745,delaware,1.0
746,delaying,1.0
747,delete,2.0
748,deleting,1.0
749,delgado,1.0
750,delivery,1.0
751,demand,1.0
752,demo,1.0
753,democratic,1.0
754,demonstration,1.0
755,denham,1.0
756,department,1.0
757,departments,1.0
758,depend,1.0
759,depending,2.0
760,depends,2.0
761,depression,1.0
762,deserve,4.0
763,design,16.0
764,designcontacts,1.0
765,designed,6.0
766,desk,1.0
767,despite,1.0
768,detailing,1.0
769,details,6.0
770,detect,1.0
771,determine,9.0
772,determined,2.0
773,determines,2.0
774,develop,1.0
775,device,3.0
776,di,1.0
777,diagnose,1.0
778,diagnosis,1.0
779,dick,1.0
780,did,1.0
781,didn't,5.0
782,difference,2.0
783,different,2.0
784,difficult,2.0
785,difficulties,2.0
786,difficulty,2.0
787,digestive,2.0
788,digital,5.0
789,dilation,3.0
790,dining,1.0
791,direct,3.0
792,directed,1.0
793,directions,16.0
794,directly,1.0
795,directory,2.0
796,disability,1.0
797,disclaim,1.0
798,disclaimer,16.0
799,disclaims,2.0
800,disclosed,1.0
801,discomforts,1.0
802,discontinued,1.0
803,discover,1.0
804,discovering,1.0
805,discreet,2.0
806,discrimination,1.0
807,discuss,2.0
808,discussed,2.0
809,discussing,1.0
810,disease,4.0
811,diseases,1.0
812,display,64.0
813,distaste,1.0
814,distinct,1.0
815,distractions,1.0
816,distributed,3.0
817,district,1.0
818,disturbing,1.0
819,divi,48.0
820,divided,1.0
821,do,75.0
822,doc,16.0
823,doctor,3.0
824,doctors,2.0
825,documentary,1.0
826,documents,4.0
827,does,28.0
828,doesn't,6.0
829,doesn’t,2.0
830,dog,1.0
831,doing,2.0
832,dominatrix,1.0
833,dominic,1.0
834,don't,14.0
835,donate,18.0
836,donations,5.0
837,done,33.0
838,donor,1.0
839,don’t,5.0
840,doubt,1.0
841,douro,1.0
842,down,6.0
843,download,4.0
844,downloaded,1.0
845,downriver,1.0
846,dr,24.0
847,dramatic,1.0
848,dramatically,1.0
849,dread,1.0
850,dreading,1.0
851,dreams,2.0
852,dresden,1.0
853,dressing,2.0
854,drive,1.0
855,drives,1.0
856,driving,1.0
857,drop,1.0
858,drug,17.0
859,drugs,2.0
860,dry,1.0
861,due,2.0
862,dump,1.0
863,during,12.0
864,dvd,1.0
865,dying,1.0
866,dysfunction,1.0
867,each,14.0
868,eagle,1.0
869,ear,2.0
870,earlier,1.0
871,early,11.0
872,early-pregnancy,1.0
873,earmuffs,1.0
874,earn,3.0
875,earned,1.0
876,earning,1.0
877,ease,39.0
878,easier,1.0
879,east,2.0
880,easy,1.0
881,eating,2.0
882,echoes,2.0
883,ectopic,4.0
884,eden,16.0
885,edit,1.0
886,education,11.0
887,educational,18.0
888,edward,4.0
889,effect,3.0
890,effective,1.0
891,effects,7.0
892,effort,1.0
893,efforts,1.0
894,egg,3.0
895,either,3.0
896,elective,1.0
897,electrical,2.0
898,electronic,2.0
899,electronics,3.0
900,elegant,16.0
901,elementary,1.0
902,elementdefndiv,2.0
903,elementor,100.0
904,elementorfrontendconfig,20.0
905,elementorprofrontendconfig,20.0
906,elevated,2.0
907,elgin,1.0
908,eligibility,1.0
909,eliminated,3.0
910,elizabeth,3.0
911,ella-,5.0
912,ella-ulipristal,1.0
913,ella®,2.0
914,elm,1.0
915,else,24.0
916,email,42.0
917,embryo,2.0
918,emerge,1.0
919,emergency,34.0
920,emergency…,1.0
921,emmetsburg,1.0
922,emotional,3.0
923,emotions,1.0
924,emphasizes,1.0
925,empirical,1.0
926,empower,3.0
927,empowered,3.0
928,empowering,1.0
929,empowers,3.0
930,empty,3.0
931,en,1.0
932,enable,4.0
933,enabled,1.0
934,encoder,16.0
935,encourage,1.0
936,encouraged,2.0
937,encouragement,1.0
938,encryption,2.0
939,end,4.0
940,ended,1.0
941,endorsement,2.0
942,endowment,2.0
943,ends,2.0
944,endured,1.0
945,enemy,1.0
946,energy,3.0
947,engine,3.0
948,england,3.0
949,english,1.0
950,enhance,5.0
951,enjoyed,1.0
952,enjoying,3.0
953,enough,5.0
954,ensure,5.0
955,ensures,2.0
956,entered,32.0
957,entertainment,1.0
958,enthusiasm,1.0
959,entirely,1.0
960,entity,1.0
961,environment,3.0
962,equip,3.0
963,equipment,1.0
964,error,3.0
965,escaped,1.0
966,español,1.0
967,especially,4.0
968,essentially,1.0
969,estate,2.0
970,estimate,1.0
971,estimates,22.0
972,et,2.0
973,ethical,1.0
974,ethics,4.0
975,eureka,1.0
976,european,2.0
977,eustatius,4.0
978,evaluate,2.0
979,evaluation,1.0
980,even,19.0
981,event,2.0
982,events,17.0
983,ever,6.0
984,every,26.0
985,everyone,2.0
986,everything,5.0
987,everywhere,1.0
988,evidence,1.0
989,exactly,1.0
990,exam,2.0
991,examestimation,1.0
992,exceed,1.0
993,excel,1.0
994,excellence,1.0
995,exception,1.0
996,exchange,1.0
997,excited,1.0
998,exciting,2.0
999,exclude,1.0
1000,expanding,1.0
1001,expect,6.0
1002,expectant,1.0
1003,expel,2.0
1004,experience,25.0
1005,experienced,1.0
1006,experiences,1.0
1007,experiencing,5.0
1008,experts,2.0
1009,expiration,1.0
1010,exploration,1.0
1011,explore,3.0
1012,exposure,1.0
1013,express,3.0
1014,expressed,2.0
1015,expressly,3.0
1016,extended,1.0
1017,external,5.0
1018,extic,1.0
1019,extra,1.0
1020,extreme,1.0
1021,extremely,4.0
1022,face,3.0
1023,face-to-face,1.0
1024,facebook,51.0
1025,faced,3.0
1026,facilitate,2.0
1027,facilitating,1.0
1028,facilitation,1.0
1029,facing,15.0
1030,fact,2.0
1031,factors,1.0
1032,facts,3.0
1033,factual,2.0
1034,fade,2.0
1035,faith,1.0
1036,faith-based,1.0
1037,fallopian,1.0
1038,falmouth,1.0
1039,false,7.0
1040,families,8.0
1041,family,8.0
1042,family's,1.0
1043,far,13.0
1044,farther,1.0
1045,fast-declining,1.0
